Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum,profile_text
Countdown Capital,https://www.countdown.capital/,"Miami, Florida 33131",USA,"1. Idea or Patent,2. Prototype",We invest in founders rebuilding the American industrial base at the earliest stages (pre-seed and pre-incorporation).,VC,"$200,000","$600,000","
Name: Countdown Capital
Type: VC
Focus: We invest in founders rebuilding the American industrial base at the earliest stages (pre-seed and pre-incorporation).
Stages: 1. Idea or Patent,2. Prototype
Locations: USA
Check Size: $$200,000 to $$600,000
"
Operator Collective,https://operatorcollective.com/,"PO Box 620733, Woodside, CA 94062","USA,Israel,Mexico,Canada,France","3. Early Revenue,4. Scaling,5. Growth,2. Prototype",We invest in early-stage enterprise SaaS companies with established product-market fit.,VC,"$50,000","$1,000,000","
Name: Operator Collective
Type: VC
Focus: We invest in early-stage enterprise SaaS companies with established product-market fit.
Stages: 3. Early Revenue,4. Scaling,5. Growth,2. Prototype
Locations: USA,Israel,Mexico,Canada,France
Check Size: $$50,000 to $$1,000,000
"
Waverley Capital,https://www.waverleycapital.com/,"535 Ramona Street, Suite #8, Palo Alto, CA 94301",USA,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in US-based startups innovating the broader media ecosystem.,VC,"$500,000","$10,000,000","
Name: Waverley Capital
Type: VC
Focus: We invest in US-based startups innovating the broader media ecosystem.
Stages: 2. Prototype,3. Early Revenue,4. Scaling,5. Growth
Locations: USA
Check Size: $$500,000 to $$10,000,000
"
Blue Wire Capital,https://www.bluewirecapital.com/,"London, GB","Canada,Australia,Denmark,Estonia,Finland,France,Austria,Armenia,Germany,Greece,Iceland,Ireland,Israel,Italy,Norway,Netherlands,Lithuania,USA,Portugal,Poland,Turkey,Russia,Switzerland,Spain,New Zealand,Sweden,UK,Liechtenstein","1. Idea or Patent,3. Early Revenue,2. Prototype,4. Scaling,5. Growth,6. Pre-IPO","We invest in innovative funds & start-ups, thinking a lot about how each our two strategies provide benefits to the other.",VC,"$250,000","$5,000,000","
Name: Blue Wire Capital
Type: VC
Focus: We invest in innovative funds & start-ups, thinking a lot about how each our two strategies provide benefits to the other.
Stages: 1. Idea or Patent,3. Early Revenue,2. Prototype,4. Scaling,5. Growth,6. Pre-IPO
Locations: Canada,Australia,Denmark,Estonia,Finland,France,Austria,Armenia,Germany,Greece,Iceland,Ireland,Israel,Italy,Norway,Netherlands,Lithuania,USA,Portugal,Poland,Turkey,Russia,Switzerland,Spain,New Zealand,Sweden,UK,Liechtenstein
Check Size: $$250,000 to $$5,000,000
"
Overlooked Ventures,https://www.overlookedventures.com/,"Columbus, OH, USA",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in US-based early-stage companies with one or more historically ignored founder(s). Fund I is a $50MM pre-seed/seed-stage fund investing in 80-100 industry-agnostic startups in tech, tech-enabled, and D2C.",VC,"$150,000","$1,000,000","
Name: Overlooked Ventures
Type: VC
Focus: We invest in US-based early-stage companies with one or more historically ignored founder(s). Fund I is a $50MM pre-seed/seed-stage fund investing in 80-100 industry-agnostic startups in tech, tech-enabled, and D2C.
Stages: 2. Prototype,3. Early Revenue,4. Scaling
Locations: USA
Check Size: $$150,000 to $$1,000,000
"
Fontinalis Partners,http://fontinalis.com/,"1 Woodward Ave, Suite 1600, Detroit, MI 48226","USA,Israel,Canada","2. Prototype,3. Early Revenue,4. Scaling","We invest in companies whose technologies are advancing mobility, typically from seed to Series B. Themes of focus include automation, industrial and supply chain transformation, electrification and sustainability, and enabling deep tech.",VC,"$100,000","$5,000,000","
Name: Fontinalis Partners
Type: VC
Focus: We invest in companies whose technologies are advancing mobility, typically from seed to Series B. Themes of focus include automation, industrial and supply chain transformation, electrification and sustainability, and enabling deep tech.
Stages: 2. Prototype,3. Early Revenue,4. Scaling
Locations: USA,Israel,Canada
Check Size: $$100,000 to $$5,000,000
"
1982 Ventures,https://1982.vc/,112 ROBINSON ROAD #12-02(A) SINGAPORE 068902,"Indonesia,Singapore,Philippines,Vietnam,Malaysia,Thailand,Pakistan,Bangladesh,Cambodia,Laos,Myanmar","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in seed stage ( first money ) fintech, regtech, insurtech, SaaS for finance, payments startups in Southeast Asia.",VC,"$250,000","$500,000","
Name: 1982 Ventures
Type: VC
Focus: We invest in seed stage ( first money ) fintech, regtech, insurtech, SaaS for finance, payments startups in Southeast Asia.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue
Locations: Indonesia,Singapore,Philippines,Vietnam,Malaysia,Thailand,Pakistan,Bangladesh,Cambodia,Laos,Myanmar
Check Size: $$250,000 to $$500,000
"
Navigate Ventures,https://www.navigatevc.com/,"9800 Wilshire Blvd, Beverly Hills, California 90212, US","USA,Canada,UK","4. Scaling,5. Growth,3. Early Revenue","We invest in emerging B2B Enterprise SaaS & Internet companies between their Series A and Growth rounds, by extending their A rounds by $1 - $5mm.",VC,"$250,000","$2,000,000","
Name: Navigate Ventures
Type: VC
Focus: We invest in emerging B2B Enterprise SaaS & Internet companies between their Series A and Growth rounds, by extending their A rounds by $1 - $5mm.
Stages: 4. Scaling,5. Growth,3. Early Revenue
Locations: USA,Canada,UK
Check Size: $$250,000 to $$2,000,000
"
Chicago Ventures,http://chicagoventures.com/,"Chicago, Illinois, United States","USA,Canada","2. Prototype,3. Early Revenue,4. Scaling","We invest in overlooked teams. We believe enduring companies can be built anywhere, by anyone. We lead seed rounds before it’s obvious, and serve as active, operationally-involved partners during a company’s earliest days. We've funded toys, rebuilds, spin-outs, un-scalables, small TAMs, and unproven founders.",VC,"$500,000","$2,500,000","
Name: Chicago Ventures
Type: VC
Focus: We invest in overlooked teams. We believe enduring companies can be built anywhere, by anyone. We lead seed rounds before it’s obvious, and serve as active, operationally-involved partners during a company’s earliest days. We've funded toys, rebuilds, spin-outs, un-scalables, small TAMs, and unproven founders.
Stages: 2. Prototype,3. Early Revenue,4. Scaling
Locations: USA,Canada
Check Size: $$500,000 to $$2,500,000
"
Shizen Capital,https://www.shizen.vc/,"1-17-1 Toranomon, Minato-ku. 105-6415 Tokyo, Japan",Japan,"2. Prototype,3. Early Revenue,1. Idea or Patent,4. Scaling","We invest in ambitious projects that endeavour to scale in Japan, both domestic and foreign. Our core investment thesis centers around the digital transformation of the enterprise. We are recovering entrepreneurs ourselves. ",VC,"$500,000","$5,000,000","
Name: Shizen Capital
Type: VC
Focus: We invest in ambitious projects that endeavour to scale in Japan, both domestic and foreign. Our core investment thesis centers around the digital transformation of the enterprise. We are recovering entrepreneurs ourselves. 
Stages: 2. Prototype,3. Early Revenue,1. Idea or Patent,4. Scaling
Locations: Japan
Check Size: $$500,000 to $$5,000,000
"
JME Ventures,https://jme.vc/,"Juan de Mena 8, 28014 Madrid, Spain",Spain,"3. Early Revenue,2. Prototype",We invest in Spain-based seed stage companies.,VC,"$100,000","$3,000,000","
Name: JME Ventures
Type: VC
Focus: We invest in Spain-based seed stage companies.
Stages: 3. Early Revenue,2. Prototype
Locations: Spain
Check Size: $$100,000 to $$3,000,000
"
Tech Square Ventures,https://techsquareventures.com/,"75 5th Street NW Suite 427, Atlanta, Georgia 30328, US",USA,3. Early Revenue,We invest in enterprise technology (b2b SaaS),VC,"$500,000","$2,000,000","
Name: Tech Square Ventures
Type: VC
Focus: We invest in enterprise technology (b2b SaaS)
Stages: 3. Early Revenue
Locations: USA
Check Size: $$500,000 to $$2,000,000
"
CompanyFirst,http://companyfirst.com/,"625 W Adams 19th Floor, Chicago, IL 60661",USA,"3. Early Revenue,4. Scaling,5. Growth","We invest in emerging consumer products and brands (e.g. food, beverage, personal care, apparel, pet products, etc.) along with tech-enablement of the consumer buying process (e.g. DTC/e-commerce, retail, and supply chain innovation, etc.).  We invest in US-based companies with less than $10M of revenue (we do not have a ""minimum revenue"" but do not invest in pre-revenue companies).",VC,"$50,000","$500,000","
Name: CompanyFirst
Type: VC
Focus: We invest in emerging consumer products and brands (e.g. food, beverage, personal care, apparel, pet products, etc.) along with tech-enablement of the consumer buying process (e.g. DTC/e-commerce, retail, and supply chain innovation, etc.).  We invest in US-based companies with less than $10M of revenue (we do not have a ""minimum revenue"" but do not invest in pre-revenue companies).
Stages: 3. Early Revenue,4. Scaling,5. Growth
Locations: USA
Check Size: $$50,000 to $$500,000
"
Coyote Ventures,https://www.coyote.ventures/,"San Francisco, CA, US",USA,"2. Prototype,3. Early Revenue","We invest in companies innovating in women’s health and wellness, in partnership with FemTech Focus.",VC,"$100,000","$250,000","
Name: Coyote Ventures
Type: VC
Focus: We invest in companies innovating in women’s health and wellness, in partnership with FemTech Focus.
Stages: 2. Prototype,3. Early Revenue
Locations: USA
Check Size: $$100,000 to $$250,000
"
Black Jays Investments,https://www.blackjays.vc/,"35 9th Ave, New York, NY 10014",USA,"3. Early Revenue,2. Prototype","We invest across consumer tech, marketplaces, and creator tools. ",VC,"$50,000","$250,000","
Name: Black Jays Investments
Type: VC
Focus: We invest across consumer tech, marketplaces, and creator tools. 
Stages: 3. Early Revenue,2. Prototype
Locations: USA
Check Size: $$50,000 to $$250,000
"
100X.VC,https://www.100x.vc,"91 springboard, Godrej & Boyce, Gate No.2, LBS Marg, Vikhroli West, Mumbai, Maharashtra 400079",India,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in all sectors focused on writing the first cheque in Indian pre-seed / seed-stage startups.,VC,"$35,000","$35,000","
Name: 100X.VC
Type: VC
Focus: We invest in all sectors focused on writing the first cheque in Indian pre-seed / seed-stage startups.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue
Locations: India
Check Size: $$35,000 to $$35,000
"
Verso Capital,https://www.versocapital.co/,"28 Boulevard Royal, L 2449 Luxembourg","USA,UK,Canada,Luxembourg,Liechtenstein,Monaco,Switzerland,Singapore,Hong Kong,France,UAE,Saudi Arabia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in game-changing technology companies that create meaningful impact for the majority of human beings. At Verso Capital, our main investment theses are in edtech, cleantech and foodtech. We are stage and country agnostic - yet we only invest if the founding team manages to ""blow our minds"".",VC,"$1,000,000","$5,000,000","
Name: Verso Capital
Type: VC
Focus: We invest in game-changing technology companies that create meaningful impact for the majority of human beings. At Verso Capital, our main investment theses are in edtech, cleantech and foodtech. We are stage and country agnostic - yet we only invest if the founding team manages to ""blow our minds"".
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO
Locations: USA,UK,Canada,Luxembourg,Liechtenstein,Monaco,Switzerland,Singapore,Hong Kong,France,UAE,Saudi Arabia
Check Size: $$1,000,000 to $$5,000,000
"
Voima Ventures,https://voimaventures.com/,"Helsinki, Finland","Finland,Sweden,Norway,Denmark,Estonia,Latvia,Lithuania","2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent",We invest in startups with strong deep tech and scientific background in the Nordics and Baltics.,VC,"$300,000","$1,000,000","
Name: Voima Ventures
Type: VC
Focus: We invest in startups with strong deep tech and scientific background in the Nordics and Baltics.
Stages: 2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent
Locations: Finland,Sweden,Norway,Denmark,Estonia,Latvia,Lithuania
Check Size: $$300,000 to $$1,000,000
"
Semantic Ventures,https://www.semantic.vc/,"London, City of London EC2R 8DN, GB","UK,France,Spain,Germany,Sweden,Finland,Denmark,Italy,Norway,Russia,USA,Canada,Poland,Czech Republic,Ukraine,Portugal,Switzerland,Israel,Ireland,Belgium,Netherlands,Austria,Bulgaria,Croatia,Estonia,Greece,Iceland,Hungary,Lithuania,Romania,Serbia,Slovenia,Slovakia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in new rails for data and the digital economy, including blockchain-based protocols and decentralized applications as well as software enablers.
",VC,"$250,000","$500,000","
Name: Semantic Ventures
Type: VC
Focus: We invest in new rails for data and the digital economy, including blockchain-based protocols and decentralized applications as well as software enablers.

Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling
Locations: UK,France,Spain,Germany,Sweden,Finland,Denmark,Italy,Norway,Russia,USA,Canada,Poland,Czech Republic,Ukraine,Portugal,Switzerland,Israel,Ireland,Belgium,Netherlands,Austria,Bulgaria,Croatia,Estonia,Greece,Iceland,Hungary,Lithuania,Romania,Serbia,Slovenia,Slovakia
Check Size: $$250,000 to $$500,000
"
Startup-O,https://www.startup-o.com/,"01-05, SULTAN LINK, 57, MOHAMED SULTAN ROAD,, SINGAPORE, Singapore 238997, SG","Australia,Canada,India,Malaysia,Singapore,Vietnam,Thailand,USA,UK,UAE,Philippines,New Zealand,Luxembourg,Indonesia","3. Early Revenue,4. Scaling","We invest in product-ready, early revenues tech-ventures, especially in B2B space. We are tech vertical agnostic but stage loyal. We invest in companies from any geography and are known as founder-friendly strategic investors given our networks and scaling expertise around the world and especially in Asia. ",VC,"$150,000","$500,000","
Name: Startup-O
Type: VC
Focus: We invest in product-ready, early revenues tech-ventures, especially in B2B space. We are tech vertical agnostic but stage loyal. We invest in companies from any geography and are known as founder-friendly strategic investors given our networks and scaling expertise around the world and especially in Asia. 
Stages: 3. Early Revenue,4. Scaling
Locations: Australia,Canada,India,Malaysia,Singapore,Vietnam,Thailand,USA,UK,UAE,Philippines,New Zealand,Luxembourg,Indonesia
Check Size: $$150,000 to $$500,000
"
Square Peg,https://squarepegcap.com,"44a Foveaux St, 4, Surry Hills, New South Wales 2010, AU","Australia,Israel,Singapore,Indonesia,Vietnam,Malaysia","3. Early Revenue,4. Scaling,2. Prototype,5. Growth","We invest in exceptional founders across Australia, Israel and Southeast Asia ",VC,"$1,000,000","$15,000,000","
Name: Square Peg
Type: VC
Focus: We invest in exceptional founders across Australia, Israel and Southeast Asia 
Stages: 3. Early Revenue,4. Scaling,2. Prototype,5. Growth
Locations: Australia,Israel,Singapore,Indonesia,Vietnam,Malaysia
Check Size: $$1,000,000 to $$15,000,000
"
500 Istanbul,https://istanbul.500.co/,"Eerste Weteringplantsoen 8, 1017 SK Amsterdam, the Netherlands","Turkey,Poland,Estonia,Latvia,Lithuania,Ukraine,Romania,Bulgaria,Slovenia,Greece,Slovakia,Hungary,Croatia,Bosnia-H,Montenegro,Albania,Serbia,North Macedonia,USA,UK","2. Prototype,3. Early Revenue","We invest in globally-focused seed stage startups with teams in Turkey, Eastern Europe and the Baltics.",VC,"$150,000","$1,000,000","
Name: 500 Istanbul
Type: VC
Focus: We invest in globally-focused seed stage startups with teams in Turkey, Eastern Europe and the Baltics.
Stages: 2. Prototype,3. Early Revenue
Locations: Turkey,Poland,Estonia,Latvia,Lithuania,Ukraine,Romania,Bulgaria,Slovenia,Greece,Slovakia,Hungary,Croatia,Bosnia-H,Montenegro,Albania,Serbia,North Macedonia,USA,UK
Check Size: $$150,000 to $$1,000,000
"
Upheaval Investments,https://upheavalinvestments.com/,"444 W Lake St, Chicago, Illinois US","USA,Canada,Germany,Israel,Brazil,Nigeria","3. Early Revenue,2. Prototype,4. Scaling,5. Growth",We invest in briliant teams solving meaninful problems through deep tech innovation.,VC,"$150,000","$2,000,000","
Name: Upheaval Investments
Type: VC
Focus: We invest in briliant teams solving meaninful problems through deep tech innovation.
Stages: 3. Early Revenue,2. Prototype,4. Scaling,5. Growth
Locations: USA,Canada,Germany,Israel,Brazil,Nigeria
Check Size: $$150,000 to $$2,000,000
"
Cocoon Capital,https://cocooncap.com/,"1 North Bridge Road, 08-08, Singapore, Singapore 179094, SG","Singapore,Vietnam,Indonesia,Thailand,Philippines,Myanmar,Malaysia","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in B2B and Deep tech startups across Southeast Asia. We are industry agnostic, investing within the medtech, fintech, insurtech, and other deep tech verticals.",VC,"$300,000","$750,000","
Name: Cocoon Capital
Type: VC
Focus: We invest in B2B and Deep tech startups across Southeast Asia. We are industry agnostic, investing within the medtech, fintech, insurtech, and other deep tech verticals.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue
Locations: Singapore,Vietnam,Indonesia,Thailand,Philippines,Myanmar,Malaysia
Check Size: $$300,000 to $$750,000
"
Real Ventures,https://www.realventures.com/,"51 Sherbrooke St W, Montreal, Quebec H2X 1X2",Canada,"2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent","We invest in daring entrepreneurs with the ambition to create successful, global companies.",VC,"$500,000","$4,000,000","
Name: Real Ventures
Type: VC
Focus: We invest in daring entrepreneurs with the ambition to create successful, global companies.
Stages: 2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent
Locations: Canada
Check Size: $$500,000 to $$4,000,000
"
Motorola Solutions Venture Capital,https://www.motorolasolutions.com/en_us/about/company-overview/ventures.html,"500 W. Monroe Street, Chicago, IL 60661, US","USA,Israel,Canada","3. Early Revenue,4. Scaling,5. Growth","We invest in startups transforming safety, security, and mission critical communications.",Corporate VC,"$1,000,000","$10,000,000","
Name: Motorola Solutions Venture Capital
Type: Corporate VC
Focus: We invest in startups transforming safety, security, and mission critical communications.
Stages: 3. Early Revenue,4. Scaling,5. Growth
Locations: USA,Israel,Canada
Check Size: $$1,000,000 to $$10,000,000
"
TGFS Technologiegründerfonds Sachsen,https://www.cfh.de/tgfs-start/,"Hainstraße 4, 04109 Leipzig, Germany",Germany,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in startups and young companies in the high technology area headquartered or located in the State of Saxony / Germany.,VC,"$100,000","$1,500,000","
Name: TGFS Technologiegründerfonds Sachsen
Type: VC
Focus: We invest in startups and young companies in the high technology area headquartered or located in the State of Saxony / Germany.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling
Locations: Germany
Check Size: $$100,000 to $$1,500,000
"
Edison Partners (US),https://www.edisonpartners.com/,"281 Witherspoon Street, Suite 300, Princeton, NJ 08540, US",USA,"5. Growth,4. Scaling","We invest in high growth companies in enterprise solutions, financial technology, and healthcare IT sectors located outside Silicon Valley and generating $10 to $30 million in revenue.",PE fund,"$10,000,000","$30,000,000","
Name: Edison Partners (US)
Type: PE fund
Focus: We invest in high growth companies in enterprise solutions, financial technology, and healthcare IT sectors located outside Silicon Valley and generating $10 to $30 million in revenue.
Stages: 5. Growth,4. Scaling
Locations: USA
Check Size: $$10,000,000 to $$30,000,000
"
Tomahawk.VC,https://www.tomahawk.vc/,"Pfäffikon, Schwyz 8808, CH","UK,Germany,Switzerland,Portugal,France,Austria,Belgium,Czech Republic,Croatia,Denmark,Estonia,Greece,Georgia,China,Sweden,Italy,Ukraine,Russia,Hungary,Finland,Norway,USA","3. Early Revenue,4. Scaling,5. Growth,2. Prototype",We invest in early stage FinTech and DeFi companies.,VC,"$300,000","$1,500,000","
Name: Tomahawk.VC
Type: VC
Focus: We invest in early stage FinTech and DeFi companies.
Stages: 3. Early Revenue,4. Scaling,5. Growth,2. Prototype
Locations: UK,Germany,Switzerland,Portugal,France,Austria,Belgium,Czech Republic,Croatia,Denmark,Estonia,Greece,Georgia,China,Sweden,Italy,Ukraine,Russia,Hungary,Finland,Norway,USA
Check Size: $$300,000 to $$1,500,000
"
Act Venture Capital,https://www.actventure.capital,"6 Richview Office Park, Dublin 14, Dublin 14, IE","Ireland,UK,Germany,Norway,Denmark,France,Spain,Sweden","2. Prototype,3. Early Revenue,4. Scaling","We invest in AI/ML and data, business applications, cloud & infrastructure, connectivity & IoT, deep tech, e-commerce, energy & climate, fintech, gaming & media, health, logistics & mobility, privacy & security. Focused on Seed and Series A/B opportunities across Europe.",VC,"$100,000","$10,000,000","
Name: Act Venture Capital
Type: VC
Focus: We invest in AI/ML and data, business applications, cloud & infrastructure, connectivity & IoT, deep tech, e-commerce, energy & climate, fintech, gaming & media, health, logistics & mobility, privacy & security. Focused on Seed and Series A/B opportunities across Europe.
Stages: 2. Prototype,3. Early Revenue,4. Scaling
Locations: Ireland,UK,Germany,Norway,Denmark,France,Spain,Sweden
Check Size: $$100,000 to $$10,000,000
"
Partech Partners,https://partechpartners.com/,"33, Rue du Mail 75002 Paris","France,Germany,USA,Israel,Senegal,Morocco,Tunisia,Egypt,South Africa,UK,Spain,Italy,Netherlands,Czech Republic,Poland,Belgium,Greece,Denmark,Finland,Sweden,Norway,Nigeria,Niger,Angola,Benin,Ghana,Ethiopia,Uganda,Rwanda,Kenya,Côte d'Ivoire,Cameroon,Mali,Madagascar,Malawi,Mauritius,Mauritania,Austria,Botswana,Burkina Faso,Estonia,Lithuania,Latvia,Indonesia,Singapore,Thailand,South Korea","3. Early Revenue,4. Scaling,5. Growth,2. Prototype","We invest in Europe, Africa and South-East Asia and US-based startups from seed to late stage.",VC,"$200,000","$60,000,000","
Name: Partech Partners
Type: VC
Focus: We invest in Europe, Africa and South-East Asia and US-based startups from seed to late stage.
Stages: 3. Early Revenue,4. Scaling,5. Growth,2. Prototype
Locations: France,Germany,USA,Israel,Senegal,Morocco,Tunisia,Egypt,South Africa,UK,Spain,Italy,Netherlands,Czech Republic,Poland,Belgium,Greece,Denmark,Finland,Sweden,Norway,Nigeria,Niger,Angola,Benin,Ghana,Ethiopia,Uganda,Rwanda,Kenya,Côte d'Ivoire,Cameroon,Mali,Madagascar,Malawi,Mauritius,Mauritania,Austria,Botswana,Burkina Faso,Estonia,Lithuania,Latvia,Indonesia,Singapore,Thailand,South Korea
Check Size: $$200,000 to $$60,000,000
"
Capital Factory,https://www.capitalfactory.com/,"701 Brazos Street, Austin, TX 78701, US",USA,"3. Early Revenue,4. Scaling","We invest in Texas-based technology companies where we can add additional value through our help with customer, employee, and investor connections. ",VC,"$25,000","$250,000","
Name: Capital Factory
Type: VC
Focus: We invest in Texas-based technology companies where we can add additional value through our help with customer, employee, and investor connections. 
Stages: 3. Early Revenue,4. Scaling
Locations: USA
Check Size: $$25,000 to $$250,000
"
Capital Lab Ventures,https://capitallab.com.br/,"1 Ropemaker St, London EC2Y 9ST, Royaume-Uni","Brazil,UK,France,Switzerland,Sweden,Portugal,Estonia","3. Early Revenue,4. Scaling",We invest in deeptech Latam and Europe-based companies that will reshape the world in increasingly digital societies.,VC,"$500,000","$3,000,000","
Name: Capital Lab Ventures
Type: VC
Focus: We invest in deeptech Latam and Europe-based companies that will reshape the world in increasingly digital societies.
Stages: 3. Early Revenue,4. Scaling
Locations: Brazil,UK,France,Switzerland,Sweden,Portugal,Estonia
Check Size: $$500,000 to $$3,000,000
"
Jenson Funding Partners,https://jensonfundingpartners.com,"Runway East, 20 St Thomas Street, London, SE1 9RS.",UK,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in early-stage to pre-Series A (SEIS & EIS) startups across all sectors. We start investing via our SEIS fund and can follow on funding via our EIS fund.,VC,"$100,000","$500,000","
Name: Jenson Funding Partners
Type: VC
Focus: We invest in early-stage to pre-Series A (SEIS & EIS) startups across all sectors. We start investing via our SEIS fund and can follow on funding via our EIS fund.
Stages: 2. Prototype,3. Early Revenue,4. Scaling,5. Growth
Locations: UK
Check Size: $$100,000 to $$500,000
"
Illuminate Financial,https://illuminatefinancial.com/,"404 The Frames, Phipp Street, London, United Kingdom EC2A 4PS","USA,Canada,UK,Germany,Singapore,Israel","3. Early Revenue,4. Scaling,2. Prototype",We invest in founders who have built solutions that we believe will become key components powering financial services firms. We look for teams and businesses that are world-class with some demonstration of enterprise product-market-fit and will only invest if we believe we can make a meaningful positive difference to the company’s outcome. We are long-term partners and strive to be the hardest working investor in the cap table.,VC,"$500,000","$5,000,000","
Name: Illuminate Financial
Type: VC
Focus: We invest in founders who have built solutions that we believe will become key components powering financial services firms. We look for teams and businesses that are world-class with some demonstration of enterprise product-market-fit and will only invest if we believe we can make a meaningful positive difference to the company’s outcome. We are long-term partners and strive to be the hardest working investor in the cap table.
Stages: 3. Early Revenue,4. Scaling,2. Prototype
Locations: USA,Canada,UK,Germany,Singapore,Israel
Check Size: $$500,000 to $$5,000,000
"
DTCP Deutsche Telekom Capital Partners,https://www.dtcp.capital/,"Am Sandtorpark 2, Hamburg, HH 20457, DE","USA,Israel,Germany,France,UK,Spain,Austria,Netherlands,Denmark,Italy,Portugal,Poland,Czech Republic,Sweden,Norway,Belgium,Switzerland,Romania,Bulgaria,Estonia,Latvia,Lithuania,Finland","5. Growth,6. Pre-IPO",We invest in cloud-based enterprise SaaS and digital infrastructure,VC,,,"
Name: DTCP Deutsche Telekom Capital Partners
Type: VC
Focus: We invest in cloud-based enterprise SaaS and digital infrastructure
Stages: 5. Growth,6. Pre-IPO
Locations: USA,Israel,Germany,France,UK,Spain,Austria,Netherlands,Denmark,Italy,Portugal,Poland,Czech Republic,Sweden,Norway,Belgium,Switzerland,Romania,Bulgaria,Estonia,Latvia,Lithuania,Finland
Check Size: $nan to $nan
"
Seed + Speed Ventures,https://www.seedandspeed.com/,"Poststrasse 21-22, 10178 Berlin, Germany","Germany,Switzerland,Austria","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-seed and seed stage software startups in Germany, Switzerland and Austria with a focus on b2b models.",Family office,"$60,000","$600,000","
Name: Seed + Speed Ventures
Type: Family office
Focus: We invest in pre-seed and seed stage software startups in Germany, Switzerland and Austria with a focus on b2b models.
Stages: 2. Prototype,3. Early Revenue,1. Idea or Patent
Locations: Germany,Switzerland,Austria
Check Size: $$60,000 to $$600,000
"
High Street Equity Partners,https://www.highstreetequity.com/,"Washington DC, United States",USA,"3. Early Revenue,4. Scaling","We invest in post-revenue tech-enabled companies, focused on underrepresented founders from underrepresented geographies.",VC,"$50,000","$400,000","
Name: High Street Equity Partners
Type: VC
Focus: We invest in post-revenue tech-enabled companies, focused on underrepresented founders from underrepresented geographies.
Stages: 3. Early Revenue,4. Scaling
Locations: USA
Check Size: $$50,000 to $$400,000
"
York IE,https://york.ie/,"175 Canal St, 6th Floor, Manchester, New Hampshire 03101, US",USA,4. Scaling,"We invest in:
- Startups with at least $500k ARR
- Business to Business (B2B) and scalable subscription-based revenue models (SaaS)
- Recurring revenue that is repeatable, scalable, sustainable, and poised for growth and scale
- Bias towards Infrastructure, Cyber Security, Developer Tools, Vertical SaaS and Tech
- Laggard markets ripe for disruption
- Strong industry and/or technology founder, preferably repeat founder but not necessary,
- Seeking to go to market (GTM) and growth help",VC,"$500,000","$2,000,000","
Name: York IE
Type: VC
Focus: We invest in:
- Startups with at least $500k ARR
- Business to Business (B2B) and scalable subscription-based revenue models (SaaS)
- Recurring revenue that is repeatable, scalable, sustainable, and poised for growth and scale
- Bias towards Infrastructure, Cyber Security, Developer Tools, Vertical SaaS and Tech
- Laggard markets ripe for disruption
- Strong industry and/or technology founder, preferably repeat founder but not necessary,
- Seeking to go to market (GTM) and growth help
Stages: 4. Scaling
Locations: USA
Check Size: $$500,000 to $$2,000,000
"
Digital+ Partners,https://dplus.partners/,"Sendlinger Str. 10, 80331 Munich","Austria,Belgium,UK,Denmark,Germany,Switzerland,Poland,Czech Republic,Sweden,France,Spain","4. Scaling,5. Growth",We invest in B2B Software/Technology companies with $3M+ ARR,PE fund,"$15,000,000","$60,000,000","
Name: Digital+ Partners
Type: PE fund
Focus: We invest in B2B Software/Technology companies with $3M+ ARR
Stages: 4. Scaling,5. Growth
Locations: Austria,Belgium,UK,Denmark,Germany,Switzerland,Poland,Czech Republic,Sweden,France,Spain
Check Size: $$15,000,000 to $$60,000,000
"
